,decade,len
0,60,101
1,60,101
2,60,66
3,60,108
4,60,85
5,60,20
6,60,33
7,60,113
8,60,51
9,60,54
10,60,87
11,60,117
12,60,62
13,60,46
14,60,74
15,60,84
16,60,55
17,60,52
18,60,85
19,60,39
20,60,33
21,60,67
22,60,29
23,60,28
24,60,97
25,60,33
26,60,26
27,60,108
28,60,110
29,60,49
30,60,32
31,60,37
32,60,36
33,60,43
34,60,162
35,60,75
36,60,62
37,60,25
38,60,176
39,60,60
40,60,93
41,60,41
42,60,83
43,60,53
44,60,58
45,60,57
46,60,54
47,60,66
48,60,53
49,60,29
50,60,29
51,60,53
52,60,34
53,60,164
54,60,64
55,60,116
56,60,89
57,60,49
58,70,137
59,70,54
60,70,98
61,70,80
62,70,42
63,70,41
64,70,53
65,70,81
66,70,166
67,70,84
68,70,121
69,70,121
70,70,35
71,70,57
72,70,76
73,70,79
74,70,88
75,70,63
76,70,63
77,70,48
78,70,33
79,70,57
80,70,39
81,70,143
82,70,44
83,70,100
84,70,74
85,70,69
86,70,54
87,70,233
88,70,127
89,70,214
90,70,104
91,70,81
92,70,111
93,70,110
94,70,119
95,70,136
96,70,41
97,70,32
98,70,68
99,70,108
100,70,127
101,70,143
102,70,70
103,70,61
104,70,107
105,70,115
106,70,186
107,70,77
108,80,108
109,80,40
110,80,66
111,80,92
112,80,114
113,80,62
114,80,96
115,80,63
116,80,103
117,80,62
118,80,143
119,80,56
120,80,64
121,80,67
122,80,179
123,80,61
124,80,52
125,80,58
126,80,76
127,80,35
128,80,45
129,80,82
130,80,247
131,80,82
132,80,70
133,80,53
134,80,70
135,80,119
136,80,117
137,80,84
138,80,84
139,80,83
140,80,33
141,80,47
142,80,82
143,80,96
144,80,47
145,80,90
146,80,68
147,80,107
148,80,191
149,80,66
150,80,80
151,80,91
152,80,156
153,80,96
154,80,57
155,80,53
156,80,75
157,80,109
158,80,48
159,80,72
160,80,49
161,80,124
162,80,118
163,80,60
164,80,95
165,80,69
166,80,26
167,80,115
168,80,77
169,80,244
170,90,68
171,90,131
172,90,89
173,90,69
174,90,55
175,90,68
176,90,189
177,90,74
178,90,54
179,90,95
180,90,85
181,90,84
182,90,136
183,90,76
184,90,50
185,90,62
186,90,120
187,90,90
188,90,65
189,90,156
190,90,294
191,90,35
192,90,51
193,90,79
194,90,47
195,90,102
196,90,56
197,90,74
198,90,41
199,90,87
200,90,90
201,90,51
202,90,498
203,90,93
204,90,90
205,90,293
206,90,62
207,90,85
208,90,82
209,90,28
210,90,54
211,90,158
212,90,42
213,90,80
214,2000,72
215,2000,151
216,2000,89
217,2000,166
218,2000,291
219,2000,45
220,2000,141
221,2000,114
222,2000,112
223,2000,157
224,2000,94
225,2000,116
226,2000,75
227,2000,141
228,2000,52
229,2000,93
230,2000,144
231,2000,93
232,2000,169
233,2000,125
234,2000,59
235,2000,141
236,2000,72
237,2000,139
238,2000,101
239,2000,57
240,2000,31
241,2000,96
242,2000,164
243,2000,105
244,2000,108
245,2000,81
246,2000,94
247,2000,81
248,2000,176
249,2000,48
250,2000,87
251,2000,60
252,2000,88
253,2000,136
254,2000,50
255,2000,110
256,2000,74
257,2000,56
258,2000,122
259,2000,83
260,2000,83
261,2000,115
262,2000,106
263,2000,95
264,2000,117
265,2000,91
266,2000,223
267,2000,55
268,2010,78
269,2010,52
270,2010,142
271,2010,91
272,2010,157
273,2010,47
274,2010,50
275,2010,66
276,2010,87
277,2010,175
278,2010,177
279,2010,67
280,2010,152
281,2010,144
282,2010,172
283,2010,41
284,2010,97
285,2010,201
286,2010,91
287,2010,64
288,2010,31
289,2010,94
290,2010,113
291,2010,56
292,2010,198
293,2010,147
294,2010,99
295,2010,67
296,2010,60
297,2010,125
298,2010,41
299,2010,91
300,2010,88
301,2010,214
302,2010,79
303,2010,78
304,2010,114
305,2010,91
306,2010,72
307,2010,63
308,2010,105
309,2010,116
310,2010,81
311,2010,68
312,2010,63
313,2010,145
314,2010,58
315,2010,116
316,2010,93
317,2010,33
318,2010,35
319,2010,108
320,2010,156
321,2010,132
322,2010,51
323,2010,55
324,2010,256
325,2010,120
326,2010,41
327,2010,42
328,2010,64
329,2010,63
330,2010,65
331,2010,104
332,2010,52
333,2010,51
334,2010,168
335,2010,178
336,2010,103
337,2010,134
338,2010,144
339,2010,85
