,decade,len
0,60,155
1,60,228
2,60,125
3,60,190
4,60,187
5,60,43
6,60,54
7,60,191
8,60,117
9,60,109
10,60,149
11,60,191
12,60,111
13,60,96
14,60,136
15,60,161
16,60,105
17,60,106
18,60,164
19,60,63
20,60,72
21,60,105
22,60,51
23,60,41
24,60,150
25,60,57
26,60,52
27,60,202
28,60,277
29,60,73
30,60,93
31,60,68
32,60,83
33,60,92
34,60,285
35,60,143
36,60,119
37,60,61
38,60,347
39,60,94
40,60,189
41,60,72
42,60,148
43,60,120
44,60,108
45,60,178
46,60,102
47,60,164
48,60,112
49,60,69
50,60,62
51,60,106
52,60,69
53,60,268
54,60,110
55,60,216
56,60,142
57,60,114
58,70,260
59,70,91
60,70,220
61,70,146
62,70,79
63,70,84
64,70,80
65,70,148
66,70,262
67,70,191
68,70,216
69,70,229
70,70,60
71,70,106
72,70,174
73,70,172
74,70,168
75,70,124
76,70,100
77,70,89
78,70,69
79,70,112
80,70,65
81,70,231
82,70,98
83,70,169
84,70,131
85,70,135
86,70,122
87,70,249
88,70,320
89,70,368
90,70,226
91,70,142
92,70,184
93,70,157
94,70,227
95,70,250
96,70,73
97,70,56
98,70,136
99,70,256
100,70,199
101,70,262
102,70,109
103,70,83
104,70,152
105,70,167
106,70,326
107,70,148
108,80,188
109,80,76
110,80,114
111,80,161
112,80,232
113,80,108
114,80,152
115,80,130
116,80,187
117,80,135
118,80,272
119,80,111
120,80,102
121,80,112
122,80,317
123,80,114
124,80,103
125,80,98
126,80,162
127,80,66
128,80,86
129,80,199
130,80,461
131,80,145
132,80,105
133,80,88
134,80,136
135,80,181
136,80,200
137,80,152
138,80,152
139,80,151
140,80,54
141,80,79
142,80,160
143,80,190
144,80,64
145,80,160
146,80,117
147,80,216
148,80,335
149,80,121
150,80,126
151,80,161
152,80,238
153,80,184
154,80,113
155,80,87
156,80,145
157,80,278
158,80,96
159,80,121
160,80,77
161,80,238
162,80,183
163,80,116
164,80,205
165,80,115
166,80,53
167,80,215
168,80,147
169,80,296
170,90,170
171,90,216
172,90,212
173,90,132
174,90,95
175,90,138
176,90,344
177,90,159
178,90,101
179,90,203
180,90,141
181,90,181
182,90,260
183,90,158
184,90,81
185,90,151
186,90,246
187,90,138
188,90,111
189,90,324
190,90,566
191,90,67
192,90,100
193,90,150
194,90,94
195,90,180
196,90,103
197,90,133
198,90,77
199,90,176
200,90,153
201,90,86
202,90,784
203,90,223
204,90,177
205,90,536
206,90,121
207,90,138
208,90,148
209,90,79
210,90,93
211,90,375
212,90,91
213,90,153
214,2000,141
215,2000,325
216,2000,193
217,2000,321
218,2000,509
219,2000,83
220,2000,240
221,2000,209
222,2000,217
223,2000,285
224,2000,185
225,2000,224
226,2000,152
227,2000,295
228,2000,93
229,2000,196
230,2000,236
231,2000,168
232,2000,280
233,2000,271
234,2000,119
235,2000,304
236,2000,148
237,2000,283
238,2000,153
239,2000,114
240,2000,75
241,2000,188
242,2000,238
243,2000,213
244,2000,188
245,2000,160
246,2000,173
247,2000,141
248,2000,294
249,2000,91
250,2000,138
251,2000,101
252,2000,181
253,2000,256
254,2000,118
255,2000,259
256,2000,139
257,2000,110
258,2000,250
259,2000,111
260,2000,163
261,2000,193
262,2000,202
263,2000,189
264,2000,266
265,2000,188
266,2000,333
267,2000,105
268,2010,160
269,2010,107
270,2010,254
271,2010,178
272,2010,326
273,2010,108
274,2010,101
275,2010,117
276,2010,170
277,2010,246
278,2010,342
279,2010,133
280,2010,274
281,2010,268
282,2010,261
283,2010,88
284,2010,173
285,2010,378
286,2010,150
287,2010,130
288,2010,55
289,2010,186
290,2010,209
291,2010,115
292,2010,334
293,2010,254
294,2010,218
295,2010,134
296,2010,115
297,2010,217
298,2010,73
299,2010,169
300,2010,181
301,2010,377
302,2010,153
303,2010,140
304,2010,248
305,2010,155
306,2010,134
307,2010,112
308,2010,186
309,2010,229
310,2010,209
311,2010,127
312,2010,114
313,2010,265
314,2010,108
315,2010,218
316,2010,215
317,2010,56
318,2010,76
319,2010,195
320,2010,305
321,2010,289
322,2010,102
323,2010,110
324,2010,360
325,2010,223
326,2010,78
327,2010,94
328,2010,111
329,2010,124
330,2010,130
331,2010,199
332,2010,92
333,2010,97
334,2010,307
335,2010,300
336,2010,238
337,2010,233
338,2010,282
339,2010,140
