,decade,len
0,60,40
1,60,51
2,60,48
3,60,33
4,60,42
5,60,14
6,60,26
7,60,74
8,60,27
9,60,34
10,60,52
11,60,68
12,60,40
13,60,35
14,60,56
15,60,31
16,60,25
17,60,38
18,60,43
19,60,34
20,60,25
21,60,52
22,60,23
23,60,22
24,60,50
25,60,22
26,60,18
27,60,83
28,60,51
29,60,41
30,60,31
31,60,35
32,60,23
33,60,24
34,60,65
35,60,62
36,60,34
37,60,21
38,60,83
39,60,43
40,60,41
41,60,31
42,60,53
43,60,40
44,60,56
45,60,39
46,60,45
47,60,37
48,60,28
49,60,29
50,60,19
51,60,44
52,60,28
53,60,86
54,60,46
55,60,61
56,60,41
57,60,21
58,70,87
59,70,37
60,70,52
61,70,74
62,70,32
63,70,31
64,70,42
65,70,55
66,70,32
67,70,54
68,70,89
69,70,98
70,70,35
71,70,44
72,70,58
73,70,68
74,70,39
75,70,55
76,70,46
77,70,41
78,70,30
79,70,41
80,70,33
81,70,30
82,70,19
83,70,30
84,70,29
85,70,51
86,70,34
87,70,69
88,70,98
89,70,107
90,70,44
91,70,36
92,70,44
93,70,25
94,70,81
95,70,36
96,70,34
97,70,20
98,70,58
99,70,51
100,70,51
101,70,60
102,70,33
103,70,13
104,70,54
105,70,61
106,70,127
107,70,42
108,80,63
109,80,27
110,80,22
111,80,67
112,80,41
113,80,40
114,80,60
115,80,49
116,80,75
117,80,49
118,80,84
119,80,48
120,80,35
121,80,58
122,80,47
123,80,34
124,80,45
125,80,50
126,80,39
127,80,33
128,80,33
129,80,44
130,80,170
131,80,47
132,80,37
133,80,50
134,80,49
135,80,87
136,80,49
137,80,46
138,80,53
139,80,51
140,80,31
141,80,26
142,80,34
143,80,44
144,80,35
145,80,60
146,80,52
147,80,27
148,80,46
149,80,43
150,80,56
151,80,33
152,80,53
153,80,69
154,80,46
155,80,37
156,80,35
157,80,74
158,80,46
159,80,37
160,80,45
161,80,93
162,80,35
163,80,54
164,80,40
165,80,34
166,80,22
167,80,52
168,80,39
169,80,63
170,90,48
171,90,59
172,90,57
173,90,59
174,90,41
175,90,50
176,90,93
177,90,42
178,90,49
179,90,66
180,90,34
181,90,56
182,90,36
183,90,55
184,90,24
185,90,40
186,90,62
187,90,22
188,90,42
189,90,42
190,90,185
191,90,21
192,90,41
193,90,68
194,90,34
195,90,51
196,90,35
197,90,32
198,90,28
199,90,58
200,90,56
201,90,38
202,90,220
203,90,45
204,90,46
205,90,88
206,90,39
207,90,41
208,90,27
209,90,14
210,90,34
211,90,61
212,90,37
213,90,48
214,2000,40
215,2000,91
216,2000,38
217,2000,51
218,2000,77
219,2000,29
220,2000,75
221,2000,55
222,2000,53
223,2000,19
224,2000,31
225,2000,46
226,2000,52
227,2000,63
228,2000,42
229,2000,36
230,2000,71
231,2000,53
232,2000,41
233,2000,82
234,2000,45
235,2000,89
236,2000,32
237,2000,52
238,2000,40
239,2000,41
240,2000,28
241,2000,37
242,2000,44
243,2000,59
244,2000,31
245,2000,71
246,2000,49
247,2000,43
248,2000,43
249,2000,39
250,2000,38
251,2000,42
252,2000,47
253,2000,72
254,2000,25
255,2000,43
256,2000,41
257,2000,49
258,2000,40
259,2000,29
260,2000,46
261,2000,42
262,2000,61
263,2000,33
264,2000,53
265,2000,65
266,2000,67
267,2000,39
268,2010,61
269,2010,47
270,2010,48
271,2010,32
272,2010,65
273,2010,40
274,2010,47
275,2010,39
276,2010,37
277,2010,36
278,2010,63
279,2010,38
280,2010,82
281,2010,47
282,2010,54
283,2010,36
284,2010,78
285,2010,103
286,2010,57
287,2010,55
288,2010,29
289,2010,50
290,2010,35
291,2010,27
292,2010,43
293,2010,44
294,2010,36
295,2010,60
296,2010,47
297,2010,58
298,2010,40
299,2010,57
300,2010,69
301,2010,58
302,2010,58
303,2010,34
304,2010,62
305,2010,50
306,2010,45
307,2010,38
308,2010,40
309,2010,41
310,2010,26
311,2010,23
312,2010,32
313,2010,49
314,2010,49
315,2010,47
316,2010,27
317,2010,32
318,2010,22
319,2010,41
320,2010,67
321,2010,47
322,2010,30
323,2010,40
324,2010,41
325,2010,56
326,2010,31
327,2010,37
328,2010,44
329,2010,29
330,2010,58
331,2010,53
332,2010,37
333,2010,50
334,2010,48
335,2010,37
336,2010,44
337,2010,43
338,2010,39
339,2010,46
